"sep=,"
Iteration 1,4.8206732s
Iteration 2,4.3949791s
Iteration 3,4.4431178s
Iteration 4,4.3960424s
Iteration 5,4.5228641s
Iteration 6,4.1889731s
Iteration 7,4.4862126s
Iteration 8,4.1505211s
Iteration 9,4.3711268s
Iteration 10,4.3336632s
Mean,4.4108173399999995s
