"sep=,"
Iteration 1,64.259552746s
Iteration 2,64.775167941s
Iteration 3,63.145044566s
Iteration 4,62.429465921s
Iteration 5,61.896449604s
Iteration 6,61.830013749s
Iteration 7,61.8591748s
Iteration 8,61.466921932s
Iteration 9,62.610395689s
Iteration 10,62.393942493s
Mean,62.6666129441s
