"sep=,"
Iteration 1,274.716001477s
Iteration 2,272.025455603s
Iteration 3,271.218049072s
Iteration 4,272.406150876s
Iteration 5,271.296550582s
Iteration 6,271.51598726s
Iteration 7,271.519912338s
Iteration 8,272.058193563s
Iteration 9,271.516622674s
Iteration 10,271.095207169s
Mean,271.9368130614s
