"sep=,"
Iteration 1,4.7908022s
Iteration 2,4.8355049s
Iteration 3,4.8345359s
Iteration 4,4.8246167s
Iteration 5,4.8523286s
Iteration 6,4.8139201s
Iteration 7,4.8297893s
Iteration 8,4.8418826s
Iteration 9,5.1723664s
Iteration 10,4.8240605s
Mean,4.86198072s
