"sep=,"
Iteration 1,1814.02230675s
Iteration 2,1840.890679s
Iteration 3,1840.028846334s
Iteration 4,1883.935010375s
Iteration 5,1918.666905417s
Iteration 6,1919.152337417s
Iteration 7,1919.147924291s
Iteration 8,1921.068417417s
Iteration 9,1921.884863459s
Iteration 10,1921.990897125s
Mean,1890.0788187585s
