"sep=,"
Iteration 1,42.8851606s
Iteration 2,42.1255913s
Iteration 3,40.9137496s
Iteration 4,42.1149907s
Iteration 5,41.4173894s
Iteration 6,42.3023962s
Iteration 7,46.6829086s
Iteration 8,45.2113738s
Iteration 9,43.2027632s
Iteration 10,41.939293s
Mean,42.87956164s
