"sep=,"
Iteration 1,3.879081292s
Iteration 2,3.862877625s
Iteration 3,3.858678417s
Iteration 4,3.861413167s
Iteration 5,3.861229833s
Iteration 6,3.855697209s
Iteration 7,3.848847375s
Iteration 8,3.862581959s
Iteration 9,3.856548667s
Iteration 10,3.856574917s
Mean,3.8603530461s
