"sep=,"
Iteration 1,48.3996964s
Iteration 2,48.5229786s
Iteration 3,48.5953627s
Iteration 4,48.5326124s
Iteration 5,48.5240419s
Iteration 6,48.5177996s
Iteration 7,49.4618931s
Iteration 8,48.7811568s
Iteration 9,49.1727524s
Iteration 10,48.7197766s
Mean,48.72280705s
