"sep=,"
Iteration 1,669.008426024s
Iteration 2,656.250600219s
Iteration 3,657.34764752s
Iteration 4,654.187295389s
Iteration 5,653.374347561s
Iteration 6,653.767805326s
Iteration 7,653.791578964s
Iteration 8,657.271320695s
Iteration 9,655.194177235s
Iteration 10,656.159000527s
Mean,656.635219946s
