"sep=,"
Iteration 1,5.1229349s
Iteration 2,4.5947318s
Iteration 3,4.6694954s
Iteration 4,4.6152105s
Iteration 5,4.5484876s
Iteration 6,4.6693641s
Iteration 7,5.0158846s
Iteration 8,4.6686882s
Iteration 9,4.7563313s
Iteration 10,4.5838245s
Mean,4.72449529s
