"sep=,"
Iteration 1,112.451694917s
Iteration 2,114.461030666s
Iteration 3,114.4347045s
Iteration 4,114.350513708s
Iteration 5,114.762928s
Iteration 6,114.712003917s
Iteration 7,114.491377375s
Iteration 8,114.409605708s
Iteration 9,114.398071041s
Iteration 10,114.382825084s
Mean,114.2854754916s
