"sep=,"
Iteration 1,39.868074375s
Iteration 2,39.669700125s
Iteration 3,39.668017583s
Iteration 4,39.695174s
Iteration 5,39.658819125s
Iteration 6,39.65474225s
Iteration 7,39.659997083s
Iteration 8,39.672251458s
Iteration 9,39.644333042s
Iteration 10,39.659676708s
Mean,39.6850785749s
