"sep=,"
Iteration 1,456.4475919s
Iteration 2,453.2670698s
Iteration 3,455.2374761s
Iteration 4,453.1072973s
Iteration 5,453.1877516s
Iteration 6,453.422538s
Iteration 7,453.12689s
Iteration 8,452.9901526s
Iteration 9,454.3194765s
Iteration 10,453.9866394s
Mean,453.90928832s
