"sep=,"
Iteration 1,7.087906262s
Iteration 2,6.639974988s
Iteration 3,6.824368348s
Iteration 4,6.875370175s
Iteration 5,6.817041188s
Iteration 6,6.700532091s
Iteration 7,6.516555158s
Iteration 8,6.540375453s
Iteration 9,6.630748997s
Iteration 10,6.750045707s
Mean,6.7382918367s
