"sep=,"
Iteration 1,48.6792385s
Iteration 2,48.7030689s
Iteration 3,48.739838s
Iteration 4,48.742491s
Iteration 5,50.2221908s
Iteration 6,58.5671509s
Iteration 7,49.8305798s
Iteration 8,49.3849733s
Iteration 9,49.0609195s
Iteration 10,49.1608594s
Mean,50.10913101s
